"+forward"			"Move Forward"
"+back"				"Move Backward"
"+moveleft"			"Strafe Left"
"+moveright"			"Strafe Right"
"+strafe"			"Strafe Modifier"
"+speed"             		"Walk"
"autospeed"			"Toggle Walk/Run"
"automove"			"Toggle Auto-Move"
"+jump"				"Jump"
"+duck"				"Crouch"
"+moveup"			"Swim Up"
"+movedown"			"Swim Down"
"+left"				"Turn Left"
"+right"			"Turn Right"
" "					" "
"+attack"			"Primary Attack"
"+wpn_secondaryatk"		"Secondary Attack"
"+reload"			"Reload Weapon"
"holster"			"Holster Weapon"
"lastinv"			"Last Weapon"
"dropitem"			"Drop Weapon"
"slot2"				"Melee Weapons"
"slot3" 			"Ranged Weapons"
"slot5"				"Armor Clothing"
"slot6"				"General Inventory"
"slot4"				"Thrown Weapons"
"slot1"				"Disciplines"
"vm_discipline"			"Use Discipline"
//"vdiscipline_last"		"Use Discipline"
"vdiscipline_endall"		"End Disciplines"
"toggleuiside"			"Toggle Discipline/Weapon"
"invprev"			"Previous Discipline/Weapon"
"invnext"			"Next Discipline/Weapon"
" "					" "
"+use"				"Use"
"+feed"				"Feed"
"+questlog"			"Quest Log"
"+chareditor"			"Character Editor"
"dlghist"			"Dialog History"
"dlgscrlup"			"Dialog History Up"
"dlgscrldn"			"Dialog History Down"
"pause"				"Pause"
"snapshot"			"Screenshot"
"toggleconsole"			"Game Console"
"save quick"			"Quick Save"
"load quick"			"Quick Load"
" "					" "
"showhotkeys"			"Hotkey Menu"
"vhotkey #1"			"Hotkey 1"
"vhotkey #2"			"Hotkey 2"
"vhotkey #3"			"Hotkey 3"
"vhotkey #4"			"Hotkey 4"
"vhotkey #5"			"Hotkey 5"
"vhotkey #6"			"Hotkey 6"
"vhotkey #7"			"Hotkey 7"
"vhotkey #8"			"Hotkey 8"
"vhotkey #9"			"Hotkey 9"
"vhotkey #10"			"Hotkey 10"
" "					" "
"+mlook"			"Mouse Look"
"togglecamera"			"Toggle View"
"+camin"			"Camera: Zoom In"
"+camout"			"Camera: Zoom Out"
"cam_rotateleft" 		"Camera: Rotate Left"
"cam_rotateright" 		"Camera: Rotate Right"
"cam_restore" 		"Camera: Restore"
