"+forward"			"Pohyb vpřed"
"+back"				"Pohyb vzad"
"+moveleft"			"Úkrok vlevo"
"+moveright"			"Úkrok vpravo"
"+strafe"			"Přepínač úkroků"
"+speed"             		"Kráčet"
"autospeed"			"Přepínač chůze a běhu"
"automove"			"Přepínač samo-pohybu"
"+jump"				"Skok"
"+duck"				"Dřep"
"+moveup"			"Plavat vzhůru"
"+movedown"			"Plavat dolů"
"+left"				"Otočit vlevo"
"+right"			"Otočit vpravo"
" "					" "
"+attack"			"Primární útok"
"+wpn_secondaryatk"		"Přepnout útočný režim"
"+reload"			"Nabít zbraň"
"holster"			"Schovat zbraň"
"lastinv"			"Předchozí zbraň"
"dropitem"			"Zahodit věc"
"slot2"				"Kontaktní zbraně"
"slot3" 			"Střelné zbraně"
"slot5"				"Brnění"
"slot6"				"Inventář"
"slot4"				"Vrhací zbraně"
"slot1"				"Schopnosti"
"vm_discipline"		"Použít vampírskou schopnost"
//"vdiscipline_last"		"Použít vampírskou schopnost"
"vdiscipline_endall"		"Ukončit aktivní schopnosti"
"invprev"			"Výběr předchozí schopnosti/zbraně"
"invnext"			"Výběr následující schopnosti/zbraně"
" "					" "
"+use"				"Použít"
"+feed"				"Sání krve"
"+questlog"			"Záznam úkolů"
"+chareditor"			"Vlastnosti postavy"
"dlghist"			"Zobrazit záznam dialogů"
"dlgscrlup"			"Skrolovat záznam dialogů nahoru"
"dlgscrldn"			"Skrolovat záznam dialogů dolů"
"pause"				"Pauza"
"snapshot"			"Vyfotit obrazovku"
"toggleconsole"			"Konzola"
"save quick"			"Rychlé uložení"
"load quick"			"Rychlé nahrání"
" "					" "
"showhotkeys"			"Menu kl. zkratek"
"vhotkey #1"			"Kl. skratka 1"
"vhotkey #2"			"Kl. skratka 2"
"vhotkey #3"			"Kl. skratka 3"
"vhotkey #4"			"Kl. skratka 4"
"vhotkey #5"			"Kl. skratka 5"
"vhotkey #6"			"Kl. skratka 6"
"vhotkey #7"			"Kl. skratka 7"
"vhotkey #8"			"Kl. skratka 8"
"vhotkey #9"			"Kl. skratka 9"
"vhotkey #10"			"Kl. skratka 10"
" "					" "
"+mlook"			"Rozhlížení myší"
"togglecamera"			"Přepnout kameru z/do třetího pohledu"
"+camin"			"Přiblížení kamery"
"+camout"			"Oddálení kamery"
"cam_rotateleft" 		"Kamera: Rotuj doleva"
"cam_rotateright" 		"Kamera: Rotuj doprava"
"cam_restore" 		"Kamera: Reset"
