"+forward"			"Pohyb vpÄed"
"+back"				"Pohyb vzad"
"+left"				"OtoÇit vlevo"
"+right"			"OtoÇit vpravo"
"+moveleft"			"Úkrok vlevo"
"+moveright"			"Úkrok vpravo"
"+strafe"			"PÄepínaÇ úkrokÔ"
"+speed"             		"KráÇet"
"autospeed"			"PÄepínaÇ chÔze a bµhu"
"automove"			"PÄepínaÇ samo-pohybu"
"+jump"				"Skok"
"+duck"				"DÄep"
"+moveup"			"Plavat vzhÔru"
"+movedown"			"Plavat dolÔ"
" "  " "
"+attack"			"Primární útok"
"+wpn_secondaryatk"		"PÄepnout útoÇnı reÎim"
"+reload"			"Nabít zbra×"
"holster"			"Schovat zbra×"
"lastinv"			"PÄedchozí zbra×"
"dropitem"			"Zahodit vµc"
"slot2"				"Kontaktní zbranµ"
"slot3" 			"StÄelné zbranµ"
"slot5"				"Brnµní"
"slot6"				"InventáÄ"
"slot4"				"Vrhací zbranµ"
"slot1"				"Schopnosti"
"vm_discipline"		"PouÎít vampírskou schopnost"
"vdiscipline_endall"		"UkonÇit aktivní schopnosti"
"invprev"			"Vıbµr pÄedchozí schopnosti/zbranµ"
"invnext"			"Vıbµr následující schopnosti/zbranµ"
"toggleuiside"			"PÄepínaÇ schopnosti/zbranµ"
"+use"				"PouÎít"
"+feed"				"Sání krve"
" "  " "
"+chareditor"			"Vlastnosti postavy"
"+questlog"			"Záznam úkolÔ"
"showhotkeys"			"Menu kl. zkratek"
"dlghist"			"Zobrazit záznam dialogÔ"
"dlgscrlup"			"Skrolovat záznam dialogÔ nahoru"
"dlgscrldn"			"Skrolovat záznam dialogÔ dolÔ"
"pause"				"Pauza"
"snapshot"			"Vyfotit obrazovku"
"save quick"			"Rychlé uloÎení"
"load quick"			"Rychlé nahrání"
" "  " "
"+mlook"			"RozhlíÎení myÂí"
"togglecamera"			"PÄepnout kameru z/do tÄetího pohledu"
"+camin"			"PÄiblíÎení kamery"
"+camout"			"Oddálení kamery"
"cam_yaw 0" 			"Kamera zezadu"
"cam_yaw 180" 			"Kamera zepÄedu"
"cam_yaw 90" 			"Kamera sprava"
"cam_yaw 270" 			"Kamera zleva"
"cam_yaw 45" 			"Kamera zezadu sprava"
"cam_yaw 315" 			"Kamera zezadu zleva"
"cam_yaw 225" 			"Kamera zepÄedu sprava"
"cam_yaw 135" 			"Kamera zepÄedu zleva"
