"+forward"			"Pohyb vpřed"
"+back"				"Pohyb vzad"
"+left"				"Otočit vlevo"
"+right"			"Otočit vpravo"
"+moveleft"			"Úkrok vlevo"
"+moveright"			"Úkrok vpravo"
"+strafe"			"Přepínač úkroků"
"+speed"             		"Kráčet"
"+jump"				"Skok"
"+duck"				"Dřep"
"+moveup"			"Plavat vzhůru"
"+movedown"			"Plavat dolů"
"+attack"			"Primární útok"
"+wpn_secondaryatk"		"Přepnout útočný režim"
"+reload"			"Nabít zbraň"
"holster"			"Schovat zbraň"
"lastinv"			"Předchozí zbraň"
"dropitem"			"Zahodit věc"
"vdiscipline_last"		"Použít vampírskou schopnost"
"vdiscipline_endall"		"Ukončit aktivní schopnosti"
"invprev"			"Výběr předchozí"
"invnext"			"Výběr následující"
"slot2"				"Kontaktní zbraně"
"slot3" 			"Střelné zbraně"
"slot5"				"Brnění"
"slot6"				"Inventář"
"+use"				"Použít"
"+feed"				"Sání krve"
"showhotkeys"			"Menu kl. zkratek"
"+chareditor"			"Vlastnosti postavy"
"+questlog"			"Záznam úkolů"
"togglecamera"			"Přepnout kameru z/do třetího pohledu"
"+mlook"			"Rozhlížení myší"
"snapshot"			"Vyfotit obrazovku"
"save quick"			"Rychlé uložení"
"load quick"			"Rychlé nahrání"
"dlghist"			"Zobrazit záznam dialogů"
"dlgscrldn"			"Skrolovat záznam dialogů dolů"
"dlgscrlup"			"Skrolovat záznam dialogů nahoru"

