"+forward"			"Pohyb vpøed"
"+back"				"Pohyb vzad"
"+left"				"Otoèit vlevo"
"+right"			"Otoèit vpravo"
"+moveleft"			"Úkrok vlevo"
"+moveright"			"Úkrok vpravo"
"+strafe"			"Pøepínaè úkrokù"
"+speed"             		"Kráèet"
"+jump"				"Skok"
"+duck"				"Døep"
"+moveup"			"Plavat vzhùru"
"+movedown"			"Plavat dolù"
"+attack"			"Primární útok"
"+wpn_secondaryatk"		"Pøepnout útoèný režim"
"+reload"			"Nabít zbraò"
"holster"			"Schovat zbraò"
"lastinv"			"Pøedchozí zbraò"
"dropitem"			"Zahodit vìc"
"vdiscipline_last"		"Použít vampírskou schopnost"
"vdiscipline_endall"		"Ukonèit aktivní schopnosti"
"invprev"			"Výbìr pøedchozí"
"invnext"			"Výbìr následující"
"slot2"				"Kontaktní zbranì"
"slot3" 			"Støelné zbranì"
"slot5"				"Brnìní"
"slot6"				"Inventáø"
"+use"				"Použít"
"+feed"				"Sání krve"
"showhotkeys"			"Menu kl. zkratek"
"+chareditor"			"Vlastnosti postavy"
"+questlog"			"Záznam úkolù"
"togglecamera"			"Pøepnout kameru z/do tøetího pohledu"
"+mlook"			"Rozhlížení myší"
"snapshot"			"Vyfotit obrazovku"
"save quick"			"Rychlé uložení"
"load quick"			"Rychlé nahrání"
"dlghist"			"Zobrazit záznam dialogù"
"dlgscrldn"			"Skrolovat záznam dialogù dolù"
"dlgscrlup"			"Skrolovat záznam dialogù nahoru"
