"+forward"			"Pohyb vpred"
"+back"				"Pohyb vzad"
"+left"				"Otocit vlevo"
"+right"			"Otocit vpravo"
"+moveleft"			"Ukrok vlevo"
"+moveright"			"Ukrok vpravo"
"+strafe"			"Prepinac ukroku"
"+speed"             		"Kracet"
"+jump"				"Skok"
"+duck"				"Drep"
"+moveup"			"Plavat vzhuru"
"+movedown"			"Plavat dolu"
"+attack"			"Primarni utok"
"+wpn_secondaryatk"		"Prepnout utocny rezim"
"+reload"			"Nabit zbran"
"holster"			"Schovat zbran"
"lastinv"			"Predchozi zbran"
"dropitem"			"Zahodit vec"
"vdiscipline_last"		"Pouzit vampirskou schopnost"
"vdiscipline_endall"		"Ukoncit aktivni schopnosti"
"invprev"			"Vyber predchozi"
"invnext"			"Vyber nasledujici"
"slot2"				"Kontaktni zbrane"
"slot3" 			"Strelne zbrane"
"slot5"				"Brneni"
"slot6"				"Inventar"
"+use"				"Pouzit"
"+feed"				"Sani krve"
"showhotkeys"			"Menu kl. zkratek"
"+chareditor"			"Vlastnosti postavy"
"+questlog"			"Zaznam ukolu"
"togglecamera"			"Prepnout kameru z/do tretiho pohledu"
"+mlook"			"Rozhlizeni mysi"
"snapshot"			"Vyfotit obrazovku"
"save quick"			"Rychle ulozeni"
"load quick"			"Rychle nahrani"
"dlghist"			"Zobrazit zaznam dialogu"
"dlgscrldn"			"Skrolovat zaznam dialogu dolu"
"dlgscrlup"			"Skrolovat zaznam dialogu nahoru"

