// MapNames Localized

// These are the (possibly localized, although some probably won't be) map names that will be displayed in the Load/Save UI's

// The Left column is the real map name (SHOULD NOT BE CHANGED!), the right column is the displayed name.


MapNames
{
//"zoo_discipline"	"Zoo (Discipline)"


	"autosave"				"Auto Save"
	"quick"				"Quick Save"

	"ch_cloud_1"			"Cinska ctvrt (Bily mracek)"
	"ch_dragon_1"			"Cinska ctvrt (Rudy drak)"
	"ch_fishmarket_1"			"Cinska ctvrt (Rybi trh)"
	"ch_fulab_1"			"Cinska ctvrt (Fu Lab)"
	"ch_glaze_1"			"Cinska ctvrt (Glazura)"
	"ch_hub_1"				"Cinska ctvrt (ulice)"
	"ch_lotus_1"			"Cinska ctvrt (Lotosovy kvet)"
	"ch_ramen_1"			"Cinska ctvrt (nudlovy kram)"
	"ch_sewer_1"			"Cinska ctvrt (kanal)"
	"ch_shrekhub"			"Cinska ctvrt (Schrecknet)"
	"ch_temple_1"			"Cinska ctvrt (Chram exterier)"
	"ch_temple_2"			"Cinska ctvrt (Chram interier)"
	"ch_temple_3"			"Cinska ctvrt (Chram suteren)"
	"ch_temple_4"			"Cinska ctvrt (Chram svatyne)"
	"ch_tsengs_1"			"Cinska ctvrt (U Tsenga)"
	"ch_zhaos_1"			"Cinska ctvrt (U Zhaa)"
	"e3_chinese_1"			"E3 (azijska)"
	"e3_combat"				"E3 (boj)"
	"e3_confession_1"		"E3 (Zpovednice)"
	"e3_hub_1"				"E3 (ulice)"
	"hw_609_1"				"HollyWood (609)"
	"hw_ash_sewer_1"			"HollyWood (Ashova stoka)"
	"hw_asphole_1"			"HollyWood (Hadi nora)"
	"hw_cemetery_1"			"HollyWood (hrbitov)"
	"hw_chinese_1"			"HollyWood (divadlo)"
	"hw_hub_1"				"HollyWood (ulice)"
	"hw_jewelry_1"			"HollyWood (klenotnictvi)"
	"hw_luckystar_1"			"HollyWood (Luckee Star)"
	"hw_metalhead_1"			"HollyWood (Metalhead)"
	"hw_netcafe_1"			"HollyWood (kavarna)"
	"hw_redspot_1"			"HollyWood (samoska)"
	"hw_sewer_1"			"HollyWood (kanal)"
	"hw_sinbin_1"			"HollyWood (Kotel hrichu)"
	"hw_tawni_1"			"HollyWood (Tawni)"
	"hw_vesuvius_1"			"HollyWood (Vesuvius)"
	"hw_warrens_1"			"HollyWood (bludiste 1)"
	"hw_warrens_2"			"HollyWood (bludiste 2)"
	"hw_warrens_2b"		"Hollywood (bludiste skratka)"		// added by wesp
	"hw_warrens_3"			"HollyWood (bludiste 3)"
	"hw_warrens_4"			"HollyWood (bludiste 4)"
	"hw_warrens_5"			"HollyWood (doupe Nosferatu)"
	"la_abandoned_building_1"	"LA (opusteny barak)"
