"+forward"			"Pohyb vpÄed"
"+back"				"Pohyb vzad"
"+left"				"OtoÇit vlevo"
"+right"			"OtoÇit vpravo"
"+moveleft"			"Úkrok vlevo"
"+moveright"			"Úkrok vpravo"
"+strafe"			"PÄepínaÇ úkrokÔ"
"+speed"             		"KráÇet"
"+jump"				"Skok"
"+duck"				"DÄep"
"+moveup"			"Plavat vzhÔru"
"+movedown"			"Plavat dolÔ"
"+attack"			"Primární útok"
"+wpn_secondaryatk"		"PÄepnout útoÇnı reÎim"
"+reload"			"Nabít zbra×"
"holster"			"Schovat zbra×"
"lastinv"			"PÄedchozí zbra×"
"dropitem"			"Zahodit vµc"
"vdiscipline_last"		"PouÎít vampírskou schopnost"
"vdiscipline_endall"		"UkonÇit aktivní schopnosti"
"invprev"			"Vıbµr pÄedchozí"
"invnext"			"Vıbµr následující"
"slot2"				"Kontaktní zbranµ"
"slot3" 			"StÄelné zbranµ"
"slot5"				"Brnµní"
"slot6"				"InventáÄ"
"+use"				"PouÎít"
"+feed"				"Sání krve"
"showhotkeys"			"Menu kl. zkratek"
"+chareditor"			"Vlastnosti postavy"
"+questlog"			"Záznam úkolÔ"
"togglecamera"			"PÄepnout kameru z/do tÄetího pohledu"
"+mlook"			"RozhlíÎení myÂí"
"snapshot"			"Vyfotit obrazovku"
"save quick"			"Rychlé uloÎení"
"load quick"			"Rychlé nahrání"
"dlghist"			"Zobrazit záznam dialogÔ"
"dlgscrldn"			"Skrolovat záznam dialogÔ dolÔ"
"dlgscrlup"			"Skrolovat záznam dialogÔ nahoru"
